Unnamed: 0,sku,national_inv,lead_time,in_transit_qty,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
1001,3362071,0,12,0,5,6,6,0,No,0,0.57,0.68,0,No,No,No,Yes,No,Yes
1002,3362095,-13,8,4,81,89,91,4,No,0,0.99,0.96,17,No,No,No,Yes,No,Yes
1003,3362448,35,0,3,106,202,296,55,No,0,0,0,0,No,No,Yes,No,No,Yes
1004,3362588,75,52,0,159,362,430,47,No,0,0.83,0.9,0,Yes,No,Yes,No,No,Yes
1005,3362693,5,12,1,66,103,132,13,No,0,0.73,0.79,0,No,No,No,Yes,No,Yes
1006,3362891,4,8,0,33,59,81,4,No,0,0.79,0.87,0,No,No,No,Yes,No,Yes
1007,3362901,12,8,0,35,70,99,0,No,0,0.76,0.84,0,No,No,No,Yes,No,Yes
1008,3362992,3,3,0,52,84,103,0,No,0,1,1,0,No,No,No,Yes,No,Yes
1009,3363021,2,8,0,7,10,16,0,No,0,0.93,0.95,0,No,No,No,Yes,No,Yes
1010,3363041,0,3,0,1,2,2,2,No,0,0.1,0.68,0,No,No,No,Yes,No,Yes
1011,3363104,5,2,0,4,4,4,0,No,0,0.53,0.46,0,Yes,No,No,Yes,No,Yes
1012,3363118,6,8,0,9,16,27,0,No,0,0.97,0.98,0,No,No,No,Yes,No,Yes
1013,3363176,15,2,0,2,5,5,2,No,0,0.99,0.97,0,No,No,No,Yes,No,Yes
1014,3363570,8,8,0,12,25,42,2,No,0,0.98,0.97,0,No,No,No,Yes,No,Yes
1015,3363737,-1,8,0,20,51,66,3,No,0,0.18,0.33,1,No,No,No,Yes,No,Yes
1016,3363757,5,2,10,25,40,52,17,No,0,0.85,0.83,0,No,No,No,Yes,No,Yes
1017,3363820,3,8,0,4,7,7,0,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
1018,3363920,0,9,0,13,20,27,0,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
1019,3364142,2,2,0,5,9,10,1,No,0,0.98,0.97,0,No,No,No,Yes,No,Yes
1020,3364225,3,8,0,20,44,70,7,No,0,0.15,0.1,0,No,No,No,Yes,No,Yes
1021,3364266,1,2,1,0,0,0,0,No,0,0.53,0.53,0,No,No,No,Yes,No,Yes
1022,3364342,5,8,0,10,11,13,3,No,0,0.96,0.89,0,No,No,No,Yes,No,Yes
1023,3364521,137,0,0,522,775,815,346,No,0,-99,0,0,No,No,No,No,No,Yes
1024,3364607,11,8,0,32,67,104,2,No,0,0.41,0.46,0,No,No,No,Yes,No,Yes
