"Index_Product","sku","national_inv","lead_time","in_transit_qty","forecast_3_month","forecast_6_month","forecast_9_month","sales_1_month","sales_3_month","sales_6_month","sales_9_month","min_bank","potential_issue","pieces_past_due","perf_6_month_avg","perf_12_month_avg","local_bo_qty","deck_risk","oe_constraint","ppap_risk","stop_auto_buy","rev_stop","went_on_backorder"
"0","3352105","0.0","NULL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","No","0.0","-99.0","-99.0","0.0","No","No","No","Yes","No","Yes"
"1","3403239","6.0","NULL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","No","0.0","-99.0","-99.0","0.0","No","No","No","Yes","No","Yes"
"2","3286560","0.0","2.0","0.0","4.0","7.0","7.0","0.0","0.0","0.0","0.0","0.0","No","0.0","0.7","0.73","0.0","No","No","No","Yes","No","Yes"
"3","3299078","7.0","8.0","0.0","11.0","27.0","47.0","2.0","2.0","2.0","2.0","0.0","No","0.0","0.7","0.73","0.0","No","No","No","Yes","No","Yes"
"4","3314098","0.0","8.0","0.0","9.0","14.0","16.0","0.0","0.0","0.0","0.0","1.0","No","0.0","0.95","0.94","0.0","No","No","No","Yes","No","Yes"
"5","3316047","0.0","4.0","0.0","10.0","10.0","10.0","0.0","0.0","0.0","0.0","0.0","No","0.0","0.57","0.68","0.0","Yes","No","No","Yes","No","Yes"
"6","3317147","0.0","8.0","0.0","2.0","3.0","4.0","0.0","1.0","2.0","2.0","1.0","No","0.0","0.56","0.68","0.0","No","No","No","Yes","No","Yes"
"7","3319588","0.0","8.0","0.0","22.0","44.0","60.0","0.0","0.0","0.0","0.0","1.0","No","0.0","0.83","0.91","0.0","No","No","No","Yes","No","Yes"
"8","3323488","0.0","2.0","0.0","16.0","16.0","16.0","9.0","21.0","34.0","36.0","0.0","No","0.0","0.97","0.96","0.0","No","No","No","Yes","No","Yes"
"9","3325147","3.0","8.0","0.0","25.0","39.0","53.0","11.0","22.0","36.0","51.0","0.0","No","0.0","0.51","0.57","0.0","No","No","No","Yes","No","Yes"
"10","3325815","0.0","0.0","0.0","6.0","9.0","12.0","1.0","3.0","7.0","8.0","2.0","No","0.0","0.0","0.0","0.0","No","No","No","No","No","Yes"
"11","3327384","0.0","2.0","0.0","3.0","3.0","3.0","0.0","0.0","0.0","0.0","0.0","No","0.0","0.37","0.34","0.0","No","No","No","Yes","No","Yes"
"12","3330191","0.0","8.0","0.0","6.0","8.0","10.0","1.0","3.0","6.0","8.0","1.0","No","0.0","0.99","0.98","0.0","No","No","Yes","Yes","No","Yes"
"13","3337956","2.0","6.0","0.0","0.0","1.0","1.0","5.0","7.0","14.0","17.0","0.0","No","0.0","0.79","0.66","0.0","No","No","No","Yes","No","Yes"
"14","3342545","0.0","NULL","0.0","14.0","18.0","18.0","8.0","16.0","16.0","16.0","0.0","No","2.0","-99.0","-99.0","0.0","No","No","No","Yes","No","Yes"
"15","3345895","9.0","8.0","0.0","88.0","88.0","109.0","12.0","32.0","55.0","76.0","15.0","No","0.0","0.0","0.0","0.0","No","No","Yes","Yes","No","Yes"
"16","3347374","0.0","NULL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","No","0.0","-99.0","-99.0","0.0","No","No","No","Yes","No","Yes"
"17","3347792","0.0","17.0","0.0","6.0","6.0","6.0","0.0","0.0","1.0","3.0","0.0","No","0.0","0.7","0.73","0.0","No","No","No","Yes","No","Yes"
"18","3350945","10.0","0.0","0.0","30.0","65.0","95.0","9.0","29.0","53.0","73.0","3.0","No","0.0","0.0","0.0","0.0","No","No","Yes","No","No","Yes"
"19","3356242","0.0","8.0","0.0","4.0","6.0","9.0","2.0","4.0","6.0","7.0","0.0","No","0.0","0.84","0.86","0.0","No","No","No","Yes","No","Yes"
"20","3358139","10.0","12.0","1.0","200.0","300.0","400.0","49.0","151.0","261.0","307.0","29.0","No","0.0","0.94","0.87","0.0","No","No","No","Yes","No","Yes"
